iter	Passed	Remaining
414	2648	3733
415	2656	3729
416	2664	3724
417	2669	3717
418	2674	3708
419	2679	3700
420	2684	3692
421	2691	3686
422	2696	3677
423	2700	3668
424	2706	3661
425	2711	3654
426	2716	3645
427	2723	3639
428	2729	3632
429	2734	3624
430	2742	3620
431	2753	3619
432	2759	3613
433	2764	3605
434	2770	3598
435	2775	3590
436	2780	3581
437	2788	3577
438	2792	3568
439	2797	3560
440	2802	3552
441	2807	3544
442	2814	3538
443	2819	3530
444	2824	3522
445	2832	3518
446	2837	3509
447	2841	3501
448	2846	3492
449	2850	3484
450	2856	3477
451	2861	3468
452	2867	3463
453	2873	3455
454	2878	3447
455	2883	3440
456	2891	3435
457	2896	3427
458	2901	3420
459	2909	3415
460	2914	3407
461	2921	3401
462	2928	3396
463	2932	3387
464	2937	3379
465	2942	3371
466	2950	3366
467	2955	3359
468	2960	3351
469	2964	3343
470	2969	3335
471	2974	3327
472	2979	3319
473	2987	3314
474	2993	3308
475	2997	3300
476	3003	3293
477	3008	3285
478	3014	3279
479	3020	3272
480	3028	3267
481	3034	3261
482	3040	3254
483	3046	3247
484	3052	3240
485	3057	3233
486	3061	3224
487	3066	3217
488	3071	3209
489	3076	3202
490	3081	3194
491	3087	3188
492	3094	3181
493	3099	3174
494	3106	3169
495	3113	3163
496	3117	3155
497	3124	3150
498	3130	3142
499	3136	3136
500	3146	3133
501	3151	3126
502	3156	3118
503	3160	3110
504	3168	3106
505	3174	3098
506	3178	3091
507	3185	3084
508	3191	3078
509	3196	3070
510	3202	3064
511	3207	3056
512	3212	3049
513	3218	3043
514	3223	3035
515	3229	3029
516	3236	3023
517	3242	3016
518	3247	3009
519	3253	3003
520	3258	2995
521	3262	2987
522	3267	2980
523	3273	2973
524	3280	2967
525	3284	2960
526	3290	2953
527	3296	2947
528	3302	2940
529	3308	2933
530	3313	2926
531	3319	2919
532	3324	2912
533	3330	2906
534	3337	2900
535	3342	2893
536	3348	2886
537	3352	2879
538	3357	2871
539	3363	2864
540	3367	2857
541	3372	2849
542	3377	2842
543	3384	2837
544	3391	2831
545	3396	2824
546	3403	2818
547	3408	2811
548	3413	2804
549	3420	2798
550	3427	2793
551	3432	2785
552	3440	2780
553	3446	2774
554	3451	2767
555	3456	2759
556	3463	2754
557	3469	2748
558	3474	2741
559	3483	2736
560	3488	2729
561	3493	2722
562	3504	2719
563	3510	2713
564	3516	2707
565	3523	2702
566	3528	2694
567	3534	2688
568	3541	2682
569	3546	2675
570	3552	2669
571	3557	2661
572	3562	2654
573	3566	2647
574	3571	2639
575	3576	2632
576	3581	2625
577	3586	2618
578	3594	2613
579	3600	2607
580	3606	2600
581	3612	2594
582	3617	2587
583	3622	2580
584	3627	2573
585	3632	2566
586	3642	2562
587	3647	2555
588	3651	2548
589	3656	2541
590	3661	2533
591	3668	2528
592	3674	2521
593	3681	2516
594	3685	2508
595	3691	2502
596	3696	2495
597	3704	2490
598	3709	2483
599	3716	2477
600	3724	2472
601	3730	2466
602	3738	2461
603	3745	2455
604	3753	2450
605	3762	2445
606	3768	2439
607	3772	2432
